,entry,top year,ranking,artist,track,release year,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,popularity,top genre
58,58,2010,59,Drake,Find Your Love,2010-01-01,0.627,0.614,-6.006,0.17,0.0211,0.0,0.0286,0.758,96.038,6,0,208947,64.0,hip hop
59,59,2010,60,Taylor Swift,Mine,2010-10-25,0.624,0.757,-2.94,0.0296,0.00265,1.87e-06,0.189,0.658,121.07,7,1,230707,64.0,pop
60,60,2010,61,John Mayer,Half of My Heart,2009-11-13,0.681,0.593,-9.327,0.0251,0.435,0.000117,0.106,0.731,115.058,5,1,250373,64.0,singer-songwriter
61,61,2010,62,DJ Fresh,Gold Dust - Radio Edit,2010-07-30,0.451,0.948,-0.74,0.147,0.255,0.0,0.392,0.295,176.985,0,1,192447,63.0,dance
62,62,2010,63,Lady A,Need You Now,2010-01-01,0.581,0.717,-4.433,0.0318,0.0298,0.000186,0.243,0.316,107.884,4,1,236440,63.0,contemporary country
63,63,2010,64,Sugarland,Stuck Like Glue,2010-01-01,0.702,0.795,-4.764,0.0568,0.329,0.0,0.0505,0.836,83.961,1,1,247587,63.0,contemporary country
64,64,2010,65,B.o.B,Magic (feat. Rivers Cuomo),2010-04-27,0.549,0.932,-4.11,0.343,0.0127,0.0,0.347,0.787,82.439,8,0,196133,63.0,hip hop
65,65,2010,66,Ellie Goulding,Your Song - Bonus Track,2010-01-01,0.547,0.197,-12.002,0.0303,0.941,0.000756,0.144,0.402,133.85,10,1,191827,63.0,pop
66,66,2010,67,Sean Kingston,Eenie Meenie,2020-02-28,0.734,0.639,-3.241,0.0316,0.0348,0.0,0.102,0.836,121.212,1,1,201653,63.0,pop
67,67,2010,68,Jason Derulo,Ridin' Solo,2010-02-24,0.442,0.83,-4.02,0.146,0.128,0.0,0.129,0.578,89.338,9,1,215747,63.0,pop
68,68,2010,69,CeeLo Green,Forget You,2010-11-09,0.696,0.875,-3.682,0.0649,0.134,0.0,0.159,0.772,127.39,0,1,222733,63.0,hip hop
69,69,2010,70,"Yolanda Be Cool, DCup, Chemical Surf",We No Speak Americano (Edit),2020-12-04,0.902,0.805,-5.003,0.0468,0.0748,0.0823,0.0914,0.745,124.985,6,1,157438,63.0,dance
70,70,2010,71,John Mayer,Heartbreak Warfare,2009-11-13,0.624,0.554,-8.113,0.0225,0.191,0.00131,0.299,0.311,97.031,2,1,269720,64.0,singer-songwriter
71,71,2010,72,Rihanna,Man Down,2010-11-16,0.479,0.906,-4.03,0.188,0.0406,0.0,0.051,0.536,155.887,0,0,266987,62.0,pop
72,72,2010,73,3OH!3,STARSTRUKK (feat. Katy Perry),2009-01-16,0.607,0.805,-5.579,0.0608,0.00175,0.0,0.231,0.232,139.894,11,0,202667,62.0,pop
73,73,2010,74,Enrique Iglesias,I Like It,2010,0.648,0.942,-2.881,0.0878,0.021,0.0,0.0594,0.73,129.007,10,0,231373,62.0,latin
74,74,2010,75,Ludacris,How Low,2010-01-01,0.785,0.498,-6.977,0.0533,0.00248,1.23e-06,0.224,0.418,143.96,1,1,201587,62.0,hip hop
75,75,2010,76,Maroon 5,Misery,2010,0.704,0.81,-4.874,0.0425,0.000315,0.0,0.216,0.726,102.98,4,0,216200,62.0,pop
76,76,2010,77,Example,Kickstarts,2010-06-20,0.61,0.836,-4.455,0.0573,0.00374,0.0,0.358,0.657,126.056,5,1,181827,61.0,pop
77,77,2010,78,Jason Derulo,In My Head,2010-02-24,0.762,0.748,-4.15,0.033,0.0266,0.0,0.348,0.851,110.009,0,0,199027,61.0,pop
78,78,2010,79,Adam Lambert,Whataya Want from Me,2009-11-23,0.44,0.683,-4.732,0.0489,0.00706,0.0,0.0593,0.445,185.948,11,0,227320,61.0,pop
79,79,2010,80,Trey Songz,Say Aah (feat. Fabolous),2009-08-31,0.724,0.87,-3.614,0.113,0.00453,0.0,0.833,0.81,93.01,1,0,207547,61.0,pop
80,80,2010,81,The Script,For the First Time,2011-01-18,0.396,0.629,-4.78,0.0287,0.0328,0.0,0.183,0.358,173.794,9,1,252853,60.0,rock
81,81,2010,82,Usher,Hey Daddy (Daddy's Home),2010-03-30,0.59,0.698,-4.262,0.0286,0.000176,0.0,0.107,0.352,95.975,11,1,224093,60.0,hip hop
82,82,2010,83,3OH!3,My First Kiss (feat. Ke$ha),2010-06-25,0.682,0.889,-4.166,0.0804,0.00564,0.0,0.36,0.827,138.021,0,1,192440,60.0,pop
83,83,2010,84,K'NAAN,Wavin' Flag,2009,0.625,0.699,-6.416,0.0729,0.13,0.0,0.238,0.717,75.974,0,1,220520,59.0,pop
